,rule_id,rule,len_l,len_r,count_lhs,count_rhs,support,confidence,lift,rpf,conviction,lhs,rhs,itemset
21,23,"{('danceability', 'danceability_4'), ('mode', 1), ((('mode', 1),)",1,1,20050,70774,0.1311,0.6538653366583541,0.9238778882899851,0.08572174563591022,0.8443534557738778,"(('danceability', 'danceability_4'),)","(('mode', 1),)","['mode,1', 'danceability,danceability_4']"
22,24,"{('duration_ms', 'duration_ms_0'), ('explicit', 0), ((('explicit', 0),)",1,1,19992,91483,0.17925,0.896608643457383,0.9800822485679119,0.1607170993397359,0.8237632431211057,"(('duration_ms', 'duration_ms_0'),)","(('explicit', 0),)","['explicit,0', 'duration_ms,duration_ms_0']"
23,25,"{('duration_ms', 'duration_ms_0'), ('mode', 1), ((('mode', 1),)",1,1,19992,70774,0.15002,0.7504001600640257,1.0602765988414184,0.11257503201280512,1.170914207733684,"(('duration_ms', 'duration_ms_0'),)","(('mode', 1),)","['mode,1', 'duration_ms,duration_ms_0']"
24,26,"{('duration_ms', 'duration_ms_1'), ('explicit', 0), ((('explicit', 0),)",1,1,19911,91483,0.18801,0.9442519210486666,1.0321610802538905,0.17752880367635981,1.5277656212438375,"(('duration_ms', 'duration_ms_1'),)","(('explicit', 0),)","['explicit,0', 'duration_ms,duration_ms_1']"
25,27,"{('duration_ms', 'duration_ms_1'), ('mode', 1), ((('mode', 1),)",1,1,19911,70774,0.14696,0.7380844759178343,1.0428751743830142,0.10846889458088493,1.115855961223814,"(('duration_ms', 'duration_ms_1'),)","(('mode', 1),)","['mode,1', 'duration_ms,duration_ms_1']"
26,28,"{('duration_ms', 'duration_ms_2'), ('explicit', 0), ((('explicit', 0),)",1,1,19978,91483,0.18218,0.911903093402743,0.9968006005517344,0.16613050555611172,0.9667762731168993,"(('duration_ms', 'duration_ms_2'),)","(('explicit', 0),)","['explicit,0', 'duration_ms,duration_ms_2']"
27,29,"{('duration_ms', 'duration_ms_2'), ('mode', 1), ((('mode', 1),)",1,1,19978,70774,0.14127,0.7071278406246871,0.9991350504771346,0.09989595004504956,0.9979098034632979,"(('duration_ms', 'duration_ms_2'),)","(('mode', 1),)","['mode,1', 'duration_ms,duration_ms_2']"
28,30,"{('duration_ms', 'duration_ms_3'), ('explicit', 0), ((('explicit', 0),)",1,1,20056,91483,0.17814,0.8882130035899481,0.9709049808051202,0.15822626445951335,0.7618954079926071,"(('duration_ms', 'duration_ms_3'),)","(('explicit', 0),)","['duration_ms,duration_ms_3', 'explicit,0']"
29,31,"{('duration_ms', 'duration_ms_3'), ('mode', 1), ((('mode', 1),)",1,1,20056,70774,0.1379,0.6875747905863582,0.9715076024901208,0.0948165636218588,0.9354558795465201,"(('duration_ms', 'duration_ms_3'),)","(('mode', 1),)","['mode,1', 'duration_ms,duration_ms_3']"
30,32,"{('duration_ms', 'duration_ms_4'), ('explicit', 0), ((('explicit', 0),)",1,1,20063,91483,0.18725,0.933310073269202,1.0202005544955917,0.17476231121965807,1.2771043978904737,"(('duration_ms', 'duration_ms_4'),)","(('explicit', 0),)","['explicit,0', 'duration_ms,duration_ms_4']"
31,33,"{('duration_ms', 'duration_ms_4'), ('mode', 1), ((('mode', 1),)",1,1,20063,70774,0.13159,0.6558839655086478,0.9267301064072226,0.08630777102128297,0.849306541564363,"(('duration_ms', 'duration_ms_4'),)","(('mode', 1),)","['mode,1', 'duration_ms,duration_ms_4']"
32,34,"{('energy', 'energy_0'), ('explicit', 0), ((('explicit', 0),)",1,1,19940,91483,0.19107,0.9582246740220662,1.0474346862499766,0.18308798846539617,2.0387632165030762,"(('energy', 'energy_0'),)","(('explicit', 0),)","['explicit,0', 'energy,energy_0']"
33,35,"{('loudness', 'loudness_0'), ('energy', 'energy_0'), ((('energy', 'energy_0'),)",1,1,19969,19940,0.14284,0.7153087285292203,3.5873055593240735,0.10217469878311383,2.812169101819489,"(('loudness', 'loudness_0'),)","(('energy', 'energy_0'),)","['loudness,loudness_0', 'energy,energy_0']"
34,37,"{('energy', 'energy_0'), ('mode', 1), ((('mode', 1),)",1,1,19940,70774,0.14414,0.7228686058174524,1.0213759372332385,0.10419428084252758,1.0545900070523841,"(('energy', 'energy_0'),)","(('mode', 1),)","['mode,1', 'energy,energy_0']"
35,38,"{('energy', 'energy_1'), ('explicit', 0), ((('explicit', 0),)",1,1,20097,91483,0.19331,0.9618848584365826,1.0514356311408488,0.1859419619843758,2.2345449674834836,"(('energy', 'energy_1'),)","(('explicit', 0),)","['explicit,0', 'energy,energy_1']"
36,39,"{('energy', 'energy_1'), ('mode', 1), ((('mode', 1),)",1,1,20097,70774,0.14741,0.7334925610787679,1.0363870363110297,0.10812413842862119,1.0966297979762936,"(('energy', 'energy_1'),)","(('mode', 1),)","['mode,1', 'energy,energy_1']"
37,40,"{('energy', 'energy_2'), ('explicit', 0), ((('explicit', 0),)",1,1,20199,91483,0.18589,0.9202930838160305,1.0059716929003537,0.1710732813505619,1.068539632556874,"(('energy', 'energy_2'),)","(('explicit', 0),)","['explicit,0', 'energy,energy_2']"
38,41,"{('energy', 'energy_2'), ('mode', 1), ((('mode', 1),)",1,1,20199,70774,0.14523,0.7189959899004901,1.0159041313201036,0.10441978761324817,1.0400563282226745,"(('energy', 'energy_2'),)","(('mode', 1),)","['mode,1', 'energy,energy_2']"
39,42,"{('energy', 'energy_3'), ('explicit', 0), ((('explicit', 0),)",1,1,19776,91483,0.16996,0.8594255663430421,0.9394374543281725,0.14606796925566343,0.6058711899346372,"(('energy', 'energy_3'),)","(('explicit', 0),)","['energy,energy_3', 'explicit,0']"
40,43,"{('energy', 'energy_3'), ('mode', 1), ((('mode', 1),)",1,1,19776,70774,0.13518,0.6835558252427184,0.9658290124095268,0.09240307645631067,0.9235752223929968,"(('energy', 'energy_3'),)","(('mode', 1),)","['energy,energy_3', 'mode,1']"
41,44,"{('energy', 'energy_4'), ('explicit', 0), ((('explicit', 0),)",1,1,19988,91483,0.1746,0.8735241144686812,0.95484856691263,0.15251731038623173,0.6734089978401502,"(('energy', 'energy_4'),)","(('explicit', 0),)","['energy,energy_4', 'explicit,0']"
42,45,"{('loudness', 'loudness_4'), ('energy', 'energy_4'), ((('energy', 'energy_4'),)",1,1,19913,19988,0.12287,0.6170340983277256,3.0870227052617847,0.07581497966152764,2.089272163440378,"(('loudness', 'loudness_4'),)","(('energy', 'energy_4'),)","['energy,energy_4', 'loudness,loudness_4']"
43,47,"{('energy', 'energy_4'), ('mode', 1), ((('mode', 1),)",1,1,19988,70774,0.13578,0.6793075845507305,0.9598264681249193,0.0922363838302982,0.9113405400599259,"(('energy', 'energy_4'),)","(('mode', 1),)","['energy,energy_4', 'mode,1']"
44,48,"{('instrumentalness', 'instrumentalness_0'), ('explicit', 0), ((('explicit', 0),)",1,1,40070,91483,0.3381,0.8437733965560269,0.9223280790485959,0.28527978537559273,0.5451696290982508,"(('instrumentalness', 'instrumentalness_0'),)","(('explicit', 0),)","['explicit,0', 'instrumentalness,instrumentalness_0']"
45,49,"{('instrumentalness', 'instrumentalness_1'), ('explicit', 0), ((('explicit', 0),)",1,1,20109,91483,0.18844,0.9370928440001989,1.024335498398827,0.17658577552339746,1.35390000219322,"(('instrumentalness', 'instrumentalness_1'),)","(('explicit', 0),)","['explicit,0', 'instrumentalness,instrumentalness_1']"
46,50,"{('instrumentalness', 'instrumentalness_2'), ('explicit', 0), ((('explicit', 0),)",1,1,19820,91483,0.19065,0.9619071644803229,1.0514600138608514,0.18338760090817355,2.2358534512389174,"(('instrumentalness', 'instrumentalness_2'),)","(('explicit', 0),)","['instrumentalness,instrumentalness_2', 'explicit,0']"
47,51,"{('instrumentalness', 'instrumentalness_3'), ('explicit', 0), ((('explicit', 0),)",1,1,20001,91483,0.19764,0.9881505924703765,1.0801466856906492,0.19529808309584523,7.187700532653187,"(('instrumentalness', 'instrumentalness_3'),)","(('explicit', 0),)","['instrumentalness,instrumentalness_3', 'explicit,0']"
48,52,"{('key', 0), ('explicit', 0), ((('explicit', 0),)",1,1,12649,91483,0.11782,0.9314570321764566,1.018174996640312,0.10974426753103012,1.2425782171656596,"(('key', 0),)","(('explicit', 0),)","['key,0', 'explicit,0']"
49,53,"{('key', 2), ('explicit', 0), ((('explicit', 0),)",1,1,11146,91483,0.10443,0.9369280459357617,1.0241553577558253,0.09784339583707159,1.3503624536968137,"(('key', 2),)","(('explicit', 0),)","['key,2', 'explicit,0']"
50,54,"{('key', 5), ('explicit', 0), ((('explicit', 0),)",1,1,9648,91483,0.09101,0.9433043117744611,1.0311252492533707,0.08585012541459369,1.502230613357366,"(('key', 5),)","(('explicit', 0),)","['key,5', 'explicit,0']"
51,55,"{('key', 7), ('explicit', 0), ((('explicit', 0),)",1,1,12264,91483,0.11331,0.9239236790606654,1.0099402938913955,0.10468979207436399,1.1195336187245875,"(('key', 7),)","(('explicit', 0),)","['key,7', 'explicit,0']"
52,56,"{('key', 9), ('explicit', 0), ((('explicit', 0),)",1,1,10288,91483,0.09693,0.942165629860031,1.0298805568903853,0.09132411450233281,1.4726536888224164,"(('key', 9),)","(('explicit', 0),)","['key,9', 'explicit,0']"
53,57,"{('liveness', 'liveness_0'), ('explicit', 0), ((('explicit', 0),)",1,1,20028,91483,0.18573,0.9273517076093469,1.0136874693761102,0.172237032654284,1.1723606436563305,"(('liveness', 'liveness_0'),)","(('explicit', 0),)","['explicit,0', 'liveness,liveness_0']"
54,58,"{('liveness', 'liveness_1'), ('explicit', 0), ((('explicit', 0),)",1,1,20066,91483,0.18606,0.9272401076447723,1.0135654795369329,0.17252229442838632,1.1705624633640366,"(('liveness', 'liveness_1'),)","(('explicit', 0),)","['explicit,0', 'liveness,liveness_1']"
55,59,"{('liveness', 'liveness_2'), ('explicit', 0), ((('explicit', 0),)",1,1,19993,91483,0.18461,0.9233731806132146,1.0093385444434646,0.17046392287300555,1.1114907230926665,"(('liveness', 'liveness_2'),)","(('explicit', 0),)","['liveness,liveness_2', 'explicit,0']"
56,60,"{('liveness', 'liveness_3'), ('explicit', 0), ((('explicit', 0),)",1,1,19970,91483,0.18149,0.9088132198297446,0.9934230620221731,0.16494051126690035,0.9340169584556182,"(('liveness', 'liveness_3'),)","(('explicit', 0),)","['liveness,liveness_3', 'explicit,0']"
57,61,"{('liveness', 'liveness_4'), ('explicit', 0), ((('explicit', 0),)",1,1,19943,91483,0.17694,0.8872286015143158,0.9698289316204275,0.15698622875194304,0.7552446842766363,"(('liveness', 'liveness_4'),)","(('explicit', 0),)","['explicit,0', 'liveness,liveness_4']"
58,62,"{('loudness', 'loudness_0'), ('explicit', 0), ((('explicit', 0),)",1,1,19969,91483,0.18781,0.9405077870699584,1.0280683701561586,0.17663676748960888,1.4316159102795123,"(('loudness', 'loudness_0'),)","(('explicit', 0),)","['loudness,loudness_0', 'explicit,0']"
59,63,"{('loudness', 'loudness_1'), ('explicit', 0), ((('explicit', 0),)",1,1,20100,91483,0.19645,0.977363184079602,1.0683549775145131,0.19200299751243782,3.7624547788454024,"(('loudness', 'loudness_1'),)","(('explicit', 0),)","['explicit,0', 'loudness,loudness_1']"
60,64,"{('loudness', 'loudness_2'), ('explicit', 0), ((('explicit', 0),)",1,1,20030,91483,0.19184,0.9577633549675487,1.0469304187308557,0.18373732201697457,2.0164953423281315,"(('loudness', 'loudness_2'),)","(('explicit', 0),)","['explicit,0', 'loudness,loudness_2']"
61,65,"{('loudness', 'loudness_3'), ('explicit', 0), ((('explicit', 0),)",1,1,19988,91483,0.17661,0.8835801480888533,0.9658408098650605,0.15604908995397238,0.731576254996671,"(('loudness', 'loudness_3'),)","(('explicit', 0),)","['loudness,loudness_3', 'explicit,0']"
62,66,"{('loudness', 'loudness_4'), ('explicit', 0), ((('explicit', 0),)",1,1,19913,91483,0.16212,0.8141415155928288,0.8899374917665892,0.13198862250790938,0.45825187810722223,"(('loudness', 'loudness_4'),)","(('explicit', 0),)","['explicit,0', 'loudness,loudness_4']"
63,67,"{('mode', 0), ('explicit', 0), ((('explicit', 0),)",1,1,29226,91483,0.25633,0.8770615205638814,0.9587153029129801,0.22481717956613972,0.6927855273455742,"(('mode', 0),)","(('explicit', 0),)","['mode,0', 'explicit,0']"
64,68,"{('mode', 1), ('explicit', 0), ((('explicit', 0),)",1,1,70774,91483,0.6585,0.9304264277842146,1.0170484437373222,0.6126858026959052,1.2241717086434754,"(('mode', 1),)","(('explicit', 0),)","['mode,1', 'explicit,0']"
65,70,"{('popularity', 'popularity_0'), ('explicit', 0), ((('explicit', 0),)",1,1,20093,91483,0.18842,0.9377395112725825,1.025042369918545,0.17668887871398,1.3679622562058622,"(('popularity', 'popularity_0'),)","(('explicit', 0),)","['explicit,0', 'popularity,popularity_0']"
66,71,"{('popularity', 'popularity_1'), ('explicit', 0), ((('explicit', 0),)",1,1,20332,91483,0.20234,0.9951800118040527,1.0878305387930574,0.20136472358843202,17.670164089083777,"(('popularity', 'popularity_1'),)","(('explicit', 0),)","['popularity,popularity_1', 'explicit,0']"
67,72,"{('popularity', 'popularity_2'), ('explicit', 0), ((('explicit', 0),)",1,1,19481,91483,0.18669,0.9583183614804168,1.047537095941778,0.17890845490477902,2.0433457268393864,"(('popularity', 'popularity_2'),)","(('explicit', 0),)","['explicit,0', 'popularity,popularity_2']"
68,73,"{('popularity', 'popularity_3'), ('explicit', 0), ((('explicit', 0),)",1,1,20524,91483,0.18382,0.8956343792633015,0.9790172810940847,0.1646355115961801,0.8160733255139636,"(('popularity', 'popularity_3'),)","(('explicit', 0),)","['popularity,popularity_3', 'explicit,0']"
69,74,"{('popularity', 'popularity_4'), ('explicit', 0), ((('explicit', 0),)",1,1,19570,91483,0.15356,0.7846704138988247,0.8577226521854605,0.12049398875830353,0.3955331970240662,"(('popularity', 'popularity_4'),)","(('explicit', 0),)","['explicit,0', 'popularity,popularity_4']"
70,75,"{('speechiness', 'speechiness_0'), ('explicit', 0), ((('explicit', 0),)",1,1,20232,91483,0.20016,0.9893238434163701,1.0814291654366057,0.19802306049822066,7.97758925276583,"(('speechiness', 'speechiness_0'),)","(('explicit', 0),)","['speechiness,speechiness_0', 'explicit,0']"
71,76,"{('speechiness', 'speechiness_1'), ('explicit', 0), ((('explicit', 0),)",1,1,19706,91483,0.19393,0.9841165127372374,1.0757370361020488,0.19084971531513245,5.3621722502652975,"(('speechiness', 'speechiness_1'),)","(('explicit', 0),)","['explicit,0', 'speechiness,speechiness_1']"
72,77,"{('speechiness', 'speechiness_2'), ('explicit', 0), ((('explicit', 0),)",1,1,20084,91483,0.19518,0.9718183628759212,1.0622939375358493,0.18967950806612227,3.0221805994744275,"(('speechiness', 'speechiness_2'),)","(('explicit', 0),)","['explicit,0', 'speechiness,speechiness_2']"
73,78,"{('speechiness', 'speechiness_3'), ('explicit', 0), ((('explicit', 0),)",1,1,19956,91483,0.18707,0.9374123070755662,1.024684703251496,0.17536172028462615,1.3608106427891604,"(('speechiness', 'speechiness_3'),)","(('explicit', 0),)","['speechiness,speechiness_3', 'explicit,0']"
74,79,"{('speechiness', 'speechiness_4'), ('explicit', 0), ((('explicit', 0),)",1,1,20022,91483,0.13849,0.6916891419438618,0.7560848922137029,0.09579202926780542,0.27624716255774806,"(('speechiness', 'speechiness_4'),)","(('explicit', 0),)","['explicit,0', 'speechiness,speechiness_4']"
75,80,"{('tempo', 'tempo_0'), ('explicit', 0), ((('explicit', 0),)",1,1,19959,91483,0.18305,0.9171301167393155,1.0025142559156517,0.1678806678691317,1.0277557493875582,"(('tempo', 'tempo_0'),)","(('explicit', 0),)","['explicit,0', 'tempo,tempo_0']"
76,81,"{('tempo', 'tempo_1'), ('explicit', 0), ((('explicit', 0),)",1,1,20117,91483,0.17919,0.8907391758214446,0.9736663378129756,0.15961155291544465,0.7795108618373884,"(('tempo', 'tempo_1'),)","(('explicit', 0),)","['tempo,tempo_1', 'explicit,0']"
77,82,"{('tempo', 'tempo_2'), ('explicit', 0), ((('explicit', 0),)",1,1,19962,91483,0.18907,0.947149584209999,1.0353285137238601,0.1790775718865845,1.6115293913086712,"(('tempo', 'tempo_2'),)","(('explicit', 0),)","['tempo,tempo_2', 'explicit,0']"
78,83,"{('tempo', 'tempo_3'), ('explicit', 0), ((('explicit', 0),)",1,1,19943,91483,0.18473,0.9262899262899262,1.0125268369969571,0.17111353808353807,1.1554729843240819,"(('tempo', 'tempo_3'),)","(('explicit', 0),)","['explicit,0', 'tempo,tempo_3']"
79,84,"{('tempo', 'tempo_4'), ('explicit', 0), ((('explicit', 0),)",1,1,20019,91483,0.17879,0.8931015535241521,0.9762486511419084,0.15967762675458316,0.7967374832009871,"(('tempo', 'tempo_4'),)","(('explicit', 0),)","['tempo,tempo_4', 'explicit,0']"
80,85,"{('valence', 'valence_0'), ('explicit', 0), ((('explicit', 0),)",1,1,19997,91483,0.18664,0.93334000100015,1.0202332684762743,0.174198577786668,1.2776777677796527,"(('valence', 'valence_0'),)","(('explicit', 0),)","['explicit,0', 'valence,valence_0']"
81,86,"{('valence', 'valence_1'), ('explicit', 0), ((('explicit', 0),)",1,1,20200,91483,0.18212,0.9015841584158416,0.9855209803087367,0.16419650693069307,0.8654094479470468,"(('valence', 'valence_1'),)","(('explicit', 0),)","['valence,valence_1', 'explicit,0']"
82,87,"{('valence', 'valence_2'), ('explicit', 0), ((('explicit', 0),)",1,1,20018,91483,0.17607,0.8795583974423019,0.9614446371919394,0.1548638470376661,0.707147675588684,"(('valence', 'valence_2'),)","(('explicit', 0),)","['explicit,0', 'valence,valence_2']"
83,88,"{('valence', 'valence_3'), ('explicit', 0), ((('explicit', 0),)",1,1,19855,91483,0.17883,0.9006799294887937,0.9845325683337819,0.16106859179048097,0.8575305948142641,"(('valence', 'valence_3'),)","(('explicit', 0),)","['valence,valence_3', 'explicit,0']"
84,89,"{('valence', 'valence_4'), ('explicit', 0), ((('explicit', 0),)",1,1,19930,91483,0.19117,0.9592072252885098,1.0485087123165067,0.1833716452584044,2.087869690515075,"(('valence', 'valence_4'),)","(('explicit', 0),)","['explicit,0', 'valence,valence_4']"
85,90,"{('year', 'year_0'), ('explicit', 0), ((('explicit', 0),)",1,1,20101,91483,0.18855,0.9380130341774041,1.0253413576045867,0.17686235759414953,1.373998509134234,"(('year', 'year_0'),)","(('explicit', 0),)","['explicit,0', 'year,year_0']"
86,91,"{('year', 'year_1'), ('explicit', 0), ((('explicit', 0),)",1,1,19914,91483,0.19904,0.9994978407150749,1.0925503543992596,0.1989400502159285,169.60720024423392,"(('year', 'year_1'),)","(('explicit', 0),)","['explicit,0', 'year,year_1']"
87,92,"{('year', 'year_2'), ('explicit', 0), ((('explicit', 0),)",1,1,20021,91483,0.19841,0.9910094400879077,1.0832716899182446,0.19662618300784176,9.4732687796427,"(('year', 'year_2'),)","(('explicit', 0),)","['explicit,0', 'year,year_2']"
88,93,"{('year', 'year_3'), ('explicit', 0), ((('explicit', 0),)",1,1,20101,91483,0.17876,0.8893089896025074,0.9721030023091802,0.15897287498134421,0.7694391705768553,"(('year', 'year_3'),)","(('explicit', 0),)","['explicit,0', 'year,year_3']"
89,94,"{('year', 'year_4'), ('explicit', 0), ((('explicit', 0),)",1,1,19863,91483,0.15007,0.7555253486381714,0.8258642027897768,0.1133816890701304,0.34837967526361896,"(('year', 'year_4'),)","(('explicit', 0),)","['year,year_4', 'explicit,0']"
90,95,"{('instrumentalness', 'instrumentalness_0'), ('mode', 1), ((('mode', 1),)",1,1,40070,70774,0.29068,0.725430496630896,1.0249957563948568,0.21086813676066885,1.064429936134184,"(('instrumentalness', 'instrumentalness_0'),)","(('mode', 1),)","['mode,1', 'instrumentalness,instrumentalness_0']"
91,96,"{('year', 'year_4'), ('instrumentalness', 'instrumentalness_0'), ((('instrumentalness', 'instrumentalness_0'),)",1,1,19863,40070,0.12102,0.6092735236369129,1.5205228940277336,0.0737342818305392,1.5338095438131607,"(('year', 'year_4'),)","(('instrumentalness', 'instrumentalness_0'),)","['year,year_4', 'instrumentalness,instrumentalness_0']"
92,97,"{('instrumentalness', 'instrumentalness_1'), ('mode', 1), ((('mode', 1),)",1,1,20109,70774,0.14407,0.7164453727186831,1.0123002412166662,0.10321828484758068,1.0307008627277507,"(('instrumentalness', 'instrumentalness_1'),)","(('mode', 1),)","['mode,1', 'instrumentalness,instrumentalness_1']"
93,98,"{('instrumentalness', 'instrumentalness_2'), ('mode', 1), ((('mode', 1),)",1,1,19820,70774,0.13734,0.6929364278506559,0.9790833185218525,0.09516788900100907,0.9517898753098133,"(('instrumentalness', 'instrumentalness_2'),)","(('mode', 1),)","['mode,1', 'instrumentalness,instrumentalness_2']"
94,99,"{('instrumentalness', 'instrumentalness_3'), ('mode', 1), ((('mode', 1),)",1,1,20001,70774,0.13565,0.6782160891955402,0.9582842416643685,0.09200001249937502,0.9082492606951686,"(('instrumentalness', 'instrumentalness_3'),)","(('mode', 1),)","['instrumentalness,instrumentalness_3', 'mode,1']"
95,100,"{('key', 0), ('mode', 1), ((('mode', 1),)",1,1,12649,70774,0.10164,0.8035417819590481,1.1353629609165063,0.08167198671831764,1.4876445558079612,"(('key', 0),)","(('mode', 1),)","['mode,1', 'key,0']"
96,101,"{('key', 2), ('mode', 1), ((('mode', 1),)",1,1,11146,70774,0.08714,0.7818051318858783,1.1046501990644564,0.06812649919253543,1.3394448787296656,"(('key', 2),)","(('mode', 1),)","['mode,1', 'key,2']"
97,102,"{('key', 7), ('mode', 1), ((('mode', 1),)",1,1,12264,70774,0.09878,0.8054468362687541,1.1380547040844862,0.07956203848662753,1.5022114926977699,"(('key', 7),)","(('mode', 1),)","['mode,1', 'key,7']"
